dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,egauge_min_time,egauge_max_time,use,grid,gen,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
3577,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,2017-08-15,2008,2122.0,1162.0,960.0,0.0,,,yes, ,yes, ,yes, ,,,,2012-04-11 18:59:13-05,2013-05-10 16:29:09-05,,,2014-05-30 00:00:00-05,2017-06-29 05:59:00-05,yes,yes,,yes,,,,,yes,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,,,,yes,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,yes,,,
18,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,2011-02-01,,2009,1439.0,1439.0,0.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:59:37-05,2013-05-10 16:29:26-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,,2008,1240.0,620.0,620.0,0.0,,,yes, , , , ,yes,,,,2012-04-11 18:59:59-05,2013-05-10 16:29:24-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2011-02-01,,2008,1842.0,1379.0,463.0,0.0,,,yes,yes,yes,yes, ,yes,,,,2012-04-11 18:59:25-05,2013-05-10 16:29:18-05,,,2013-10-15 19:00:00-05,2017-08-26 04:59:00-05,yes,yes,yes,yes,,,,,yes,,yes,yes,,,,yes,yes,,,,yes,,yes,,,yes,,,,,,,,,,yes,yes,yes,,,,,,yes,,yes,,,,,,,,,,,,yes,,,,,,,,,
370,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2011-02-01,,2007,2680.0,2680.0,0.0,0.0,,,yes,yes,yes, ,yes, ,,,,2012-04-11 18:58:33-05,2013-05-10 16:29:42-05,,,2012-07-11 00:00:00-05,2017-08-26 04:59:00-05,yes,yes,yes,yes,,,,,yes,,yes,,,,,yes,yes,,yes,yes,yes,,yes,,,yes,,,,,,,,,,yes,yes,yes,yes,yes,,,,yes,yes,yes,,,,,,,,,,,yes,yes,,yes,,,,,,,
545,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,2011-02-01,,2007,2345.0,1385.0,960.0,0.0,,,yes,yes,yes, ,yes,yes,,,,2012-04-12 18:33:48-05,2013-05-10 16:03:04-05,,,2012-08-12 19:00:00-05,2017-02-02 07:59:00-06,yes,yes,yes,yes,,,,,yes,,yes,,,,,yes,yes,,,,yes,,,yes,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,,,,,,,,,
585,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2011-02-01,,2008,1720.0,1720.0,0.0,0.0,,,yes, , ,yes, , ,,,,2012-04-11 18:59:05-05,2013-05-10 16:29:44-05,,,2012-01-01 00:00:00-06,2017-08-26 04:59:00-05,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2011-02-01,,2007,1842.0,1379.0,463.0,0.0,,,yes, ,yes, ,yes,yes,,,,2012-05-25 06:30:18-05,2013-05-10 16:16:24-05,2015-08-20 13:20:00-05,2017-08-12 23:59:00-05,2013-09-07 19:00:00-05,2017-08-26 03:59:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,yes,,,yes,,,,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,,,,,
744,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,2011-02-01,,,2351.0,,,,,,yes, ,yes, , , ,,,,2012-04-11 18:58:50-05,2013-05-10 16:29:11-05,,,2012-01-01 00:00:00-06,2017-08-26 04:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
964,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,,2008,2919.0,1401.0,1518.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:55:35-05,2013-05-10 14:55:50-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,yes,Single-Family Home,,yes,yes,yes,,CCET - Pricing Trial,,Austin,Texas,yes,2011-02-01,,2007,2122.0,1162.0,960.0,0.0,,,yes,yes,yes, , ,yes,2,,,2012-04-11 18:41:43-05,2014-02-07 00:11:40-06,2012-05-01 12:00:00-05,2017-08-26 23:47:00-05,2012-05-22 19:00:00-05,2017-07-23 03:59:00-05,yes,yes,yes,yes,yes,,,,yes,,yes,yes,,,,yes,yes,,,,yes,yes,yes,yes,,yes,,yes,,yes,,,,yes,yes,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,yes,,,yes,,,,,
1192,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,2011-02-01,,2008,2122.0,1162.0,960.0,0.0,,,yes, , , , , ,,,,2012-04-11 18:59:48-05,2013-05-10 16:29:20-05,2015-08-20 14:20:00-05,2017-08-26 23:59:00-05,2012-09-17 19:00:00-05,2017-08-26 04:32:00-05,yes,yes,yes,yes,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
1463,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,2011-02-01,,2007,2236.0,793.0,1443.0,0.0,,,yes, ,yes,yes,yes,yes,,,,2012-04-11 18:04:44-05,2013-05-10 16:24:55-05,,,2014-05-09 00:00:00-05,2017-08-26 06:59:00-05,yes,yes,,yes,,,,,,,yes,,,,,,yes,,,,yes,yes,,yes,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,yes,,yes,,,,,
1642,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2011-02-01,,2007,1720.0,1720.0,0.0,0.0,,,yes, ,yes,yes,yes,yes,,,,2012-11-17 17:54:40-06,2013-05-10 15:57:04-05,,,2012-05-11 19:00:00-05,2017-08-26 04:59:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,,yes,,yes,,,,,,,yes,,,yes,yes,yes,yes,,,,,yes,,yes,,,,yes,,,,,,,yes,yes,,,,,,,,,
1718,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,2011-02-01,,2008,2710.0,1508.0,1202.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:16:55-05,2014-02-06 21:56:00-06,2012-09-26 18:59:27-05,2015-10-28 23:34:00-05,2012-05-15 19:00:00-05,2017-08-26 02:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
1800,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2011-02-01,,2008,2075.0,2075.0,0.0,0.0,,,yes, , ,yes,yes,yes,,,,2012-04-11 18:59:23-05,2013-05-10 16:29:45-05,,,2012-12-11 18:00:00-06,2017-08-26 05:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
1801,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,2011-02-01,,2008,2075.0,2075.0,0.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:59:57-05,2013-05-10 16:29:37-05,,,2012-10-27 19:00:00-05,2017-07-26 05:59:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,yes,yes,,,,yes,,yes,,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,yes,yes,,,yes,,,,,,,,yes,,,,,,,,,
1852,yes,Town Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,,2008,1240.0,620.0,620.0,0.0,,,yes, ,yes, , ,yes,,,,2012-04-11 18:58:55-05,2013-05-10 16:29:05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,2011-02-01,,2008,3023.0,1473.0,1550.0,0.0,,,yes, , , , , ,,,,2012-04-11 18:59:00-05,2013-05-10 16:29:23-05,,,2013-11-13 18:00:00-06,2017-08-26 07:59:00-05,yes,yes,yes,yes,yes,,,,yes,yes,,,,,,yes,yes,,,,yes,yes,yes,,,yes,yes,,,,,,yes,,,yes,yes,yes,,,,,,,,yes,,,,yes,,,,,,,yes,yes,yes,,,,,yes,,,
2129,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2011-02-01,,2008,2075.0,2075.0,0.0,0.0,,,yes, ,yes,yes,yes,yes,,,,2012-04-11 18:58:37-05,2013-05-10 16:26:05-05,2015-09-28 15:49:00-05,2017-08-26 23:59:00-05,2012-05-15 19:00:00-05,2017-08-26 02:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,yes,,,,,,,,,,
2233,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,2011-02-01,,2008,3245.0,1779.0,1466.0,0.0,,,yes, ,yes, ,yes, ,,,,2012-04-12 07:30:15-05,2013-05-10 16:25:08-05,,,2012-05-02 19:00:00-05,2017-08-26 07:59:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,,yes,,,
2335,yes,Single-Family Home,,yes,yes,yes,,CCET - Pricing Trial,,Austin,Texas,yes,2011-02-01,,2008,2710.0,1508.0,1202.0,0.0,,,yes,yes,yes, , ,yes,,,,2012-04-11 18:59:40-05,2013-05-10 16:29:20-05,,,2012-05-26 00:00:00-05,2017-08-26 03:59:00-05,yes,yes,yes,yes,,,,,yes,,yes,,,,,yes,yes,,,,yes,yes,yes,,,yes,,,,,,,,,,yes,yes,yes,yes,,,,,,,yes,,,,yes,yes,,,,,,yes,yes,,,,,,yes,,,
2337,yes,Single-Family Home,,yes,yes,,,CCET - Portal Only,,Austin,Texas,yes,2011-02-01,,2008,1439.0,1439.0,0.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:51:27-05,2013-05-10 16:29:56-05,,,2012-05-11 19:00:00-05,2017-08-26 07:36:00-05,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,yes,Town Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,,2008,1748.0,1010.0,738.0,0.0,,,yes, ,yes, ,yes,yes,,,,2012-04-11 18:59:51-05,2013-05-10 16:29:16-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2011-02-01,,2008,2075.0,2075.0,0.0,0.0,,,yes, ,yes,yes, ,yes,,,,2012-04-11 18:59:51-05,2013-05-10 16:29:09-05,2015-08-21 08:58:00-05,2017-08-26 23:57:00-05,2014-04-22 00:00:00-05,2017-08-26 07:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,,,,,,yes,,,
2575,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2011-02-01,,2008,1439.0,1439.0,0.0,0.0,,,yes, ,yes,yes, ,yes,,,,2012-04-11 18:57:46-05,2013-05-10 16:29:41-05,,,2012-11-09 00:00:00-06,2017-08-11 04:59:00-05,yes,yes,yes,yes,,,,,,,yes,yes,,,,,yes,,,,yes,yes,yes,,,yes,,,,,,,,,,yes,yes,yes,yes,,,,,,,yes,,,,,,,,,,,,yes,,,,,,,,,
2638,yes,Town Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2011-02-01,,2008,1970.0,1013.0,957.0,0.0,0.0,0.0,yes, ,yes,yes, ,yes,,,,2012-04-12 09:52:15-05,2013-05-10 16:29:02-05,2015-08-20 14:11:15.844351-05,2017-08-26 22:44:00-05,2012-05-11 01:00:00-05,2017-08-26 03:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,,2008,2075.0,2075.0,0.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:59:50-05,2013-05-10 16:28:18-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,yes,Town Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,,2008,2020.0,1074.0,946.0,0.0,,,yes, ,yes,yes, , ,,,,2012-04-11 18:59:41-05,2013-05-10 16:28:58-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814,yes,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2011-02-01,,2009,1842.0,1379.0,463.0,0.0,,,yes,yes,yes,yes,yes,yes,,2014-04-04 09:23:01-05,2017-08-26 22:59:02-05,2012-04-11 18:59:20-05,2013-05-10 16:25:40-05,,,2012-05-14 19:00:00-05,2017-08-26 02:59:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,yes,,,yes,,yes,,,,,,yes,yes,,,,,,,,,yes,,yes,,,,,,,,,,,,yes,,yes,,,,,,,
2818,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2011-02-01,,2007,2345.0,1385.0,960.0,0.0,,,yes, ,yes, , ,yes,,,,2012-04-11 18:45:51-05,2013-05-10 16:28:53-05,,,2012-10-20 19:00:00-05,2017-08-26 06:36:00-05,yes,yes,yes,yes,,,,,yes,,yes,yes,,,,,yes,,,,yes,,,yes,,yes,,,,,,,,,,yes,,yes,yes,,,,,,,yes,,,,yes,,,,,,,,yes,,,,yes,,yes,,,
2859,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,,2008,1252.0,1252.0,0.0,0.0,,,yes, ,yes,yes,yes,yes,,,,2012-04-11 18:59:49-05,2013-05-10 16:27:05-05,,,2014-05-29 00:00:00-05,2017-08-26 04:59:00-05,yes,yes,,yes,,,,,yes,,yes,yes,,,,,yes,,,,yes,yes,yes,,,yes,,,,,,,,,,yes,yes,yes,,,,,,,,yes,,,,,,,,,,,,yes,,yes,,yes,,,,,
2945,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2011-02-01,,2007,1720.0,1720.0,0.0,0.0,,,yes, , , , , ,,,,2012-04-11 18:59:40-05,2014-02-06 22:43:59-06,2012-05-01 13:00:00-05,2015-10-28 23:54:00-05,2012-05-15 19:00:00-05,2017-08-26 07:37:00-05,yes,yes,yes,yes,,,,,,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,,,,yes,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,,,,
